job_title,job_url
Projektledare,https://www.saab.com/career/job-opportunities/projektledare
IT- Klientspecialist,https://www.saab.com/career/job-opportunities/it--klientspecialist1
IT- Klientspecialist,https://www.saab.com/career/job-opportunities/it--klientspecialist
Contract Administrator,https://www.saab.com/career/job-opportunities/contract-administrator
Operational Security Officer,https://www.saab.com/career/job-opportunities/operational-security-officer1
Systems&#xE4;kerhetsingenj&#xF6;r,https://www.saab.com/career/job-opportunities/systemsakerhetsingenjor4
Production Quality Engineer,https://www.saab.com/career/job-opportunities/production-quality-engineer
HR Manager (m/w/d),https://www.saab.com/career/job-opportunities/hr-manager-mwd
"Manager Product Management, PU EW",https://www.saab.com/career/job-opportunities/manager-product-management-pu-ew
"Manager Systems Engineering, PU EW",https://www.saab.com/career/job-opportunities/manager-systems-engineering-pu-ew
Systemingenj&#xF6;rer till Fire Control Systems!,https://www.saab.com/career/job-opportunities/systemingenjorer-till-fire-control-systems
Buyer,https://www.saab.com/career/job-opportunities/buyer
Engineering Coordinator,https://www.saab.com/career/job-opportunities/engineering-coordinator
"Chief Technologist, Advanced Antenna Development",https://www.saab.com/career/job-opportunities/chief-technologist-advanced-antenna-development
Material Handler,https://www.saab.com/career/job-opportunities/material-handler1
"Administrative asssistent to BU AEW, Mechanical and Structural engineering",https://www.saab.com/career/job-opportunities/administrative-asssistent-to-bu-aew-mechanical-and-structural-engineering
Head of Production inom UTAAS &amp; Trackfire!,https://www.saab.com/career/job-opportunities/head-of-production-inom-utaas--trackfire
Cloud Engineer,https://www.saab.com/career/job-opportunities/cloud-engineer
Supplier Quality Engineer,https://www.saab.com/career/job-opportunities/supplier-quality-engineer
Kompositkonstrukt&#xF6;r,https://www.saab.com/career/job-opportunities/kompositkonstruktor
Integrated Product Support (IPS),https://www.saab.com/career/job-opportunities/integrated-product-support-ips
Innovation Engineer,https://www.saab.com/career/job-opportunities/innovation-engineer2
Program Manager - Defence Industry,https://www.saab.com/career/job-opportunities/program-manager---defence-industry
Projektledare C-UAS,https://www.saab.com/career/job-opportunities/projektledare-c-uas
Fuze Design s&#xF6;ker en driven utvecklingsingenj&#xF6;r!,https://www.saab.com/career/job-opportunities/fuze-design-soker-en-driven-utvecklingsingenjor
Teknikinformat&#xF6;r,https://www.saab.com/career/job-opportunities/teknikinformator
Mekanikkonstrukt&#xF6;r till Saab Dynamics Karlskoga,https://www.saab.com/career/job-opportunities/mekanikkonstruktor-till-saab-dynamics-karlskoga
Capture Manager,https://www.saab.com/career/job-opportunities/capture-manager1
Head of Industrial Co-operation GlobalEye,https://www.saab.com/career/job-opportunities/head-of-industrial-co-operation-globaleye
Systemledare &#x2013; Counter Small Unmanned Aerial Systems,https://www.saab.com/career/job-opportunities/systemledare--counter-small-unmanned-aerial-systems
Utvecklingsingenj&#xF6;r/PoC till Fuze Design,https://www.saab.com/career/job-opportunities/utvecklingsingenjorpoc-till-fuze-design
Document Manager,https://www.saab.com/career/job-opportunities/document-manager
Werkstudent Qualit&#xE4;ts- und Konfigurationsmanagement (m/w/d),https://www.saab.com/career/job-opportunities/werkstudent-qualitats--und-konfigurationsmanagement-mwd
IT Manager,https://www.saab.com/career/job-opportunities/it-manager3
Sp&#xE4;nnande m&#xF6;jligheter f&#xF6;r Elektronikingenj&#xF6;rer hos Saab!,https://www.saab.com/career/job-opportunities/spannande-mojligheter-for-elektronikingenjorer-hos-saab
Mechanical Engineer,https://www.saab.com/career/job-opportunities/mechanical-engineer2
Lager- och f&#xF6;rr&#xE5;dsmedarbetare med ledsagaransvar,https://www.saab.com/career/job-opportunities/lager--och-forradsmedarbetare-med-ledsagaransvar
Senior mjukvaruutvecklare med erfarenhet av inbyggda system,https://www.saab.com/career/job-opportunities/senior-mjukvaruutvecklare-med-erfarenhet-av-inbyggda-system
Program Manager Surface Sensor Solutions (LSI),https://www.saab.com/career/job-opportunities/program-manager-surface-sensor-solutions-lsi
Projektledare inom Civil och Milit&#xE4;r Eftermarknad,https://www.saab.com/career/job-opportunities/projektledare-inom-civil-och-militar-eftermarknad
ServiceNow-avdelningen p&#xE5; Saab s&#xF6;ker flera nya kollegor!,https://www.saab.com/career/job-opportunities/servicenow-avdelningen-pa-saab-soker-flera-nya-kollegor
Flygprovingenj&#xF6;r,https://www.saab.com/career/job-opportunities/flygprovingenjor
Technical leader,https://www.saab.com/career/job-opportunities/technical-leader
Indk&#xF8;bselev,https://www.saab.com/career/job-opportunities/indkbselev
AI Transformation Driver,https://www.saab.com/career/job-opportunities/ai-transformation-driver
IT Object Leader - Surface Ship,https://www.saab.com/career/job-opportunities/it-object-leader---surface-ship
Projektledare med ILS/IPS-fokus,https://www.saab.com/career/job-opportunities/projektledare-med-ilsips-fokus
Logistics Manager - Expat in Saudi Arabia,https://www.saab.com/career/job-opportunities/logistics-manager---expat-in-saudi-arabia1
Vi s&#xF6;ker en mekanikkonstrukt&#xF6;r med fokus p&#xE5; verktygskonstruktion,https://www.saab.com/career/job-opportunities/vi-soker-en-mekanikkonstruktor-med-fokus-pa-verktygskonstruktion
Lead Material Handler,https://www.saab.com/career/job-opportunities/lead-material-handler
Senior mjukvaruutvecklare,https://www.saab.com/career/job-opportunities/senior-mjukvaruutvecklare
Systemingej&#xF6;r,https://www.saab.com/career/job-opportunities/systemingejor
Verksamhetsutvecklare Supply Chain Excellence,https://www.saab.com/career/job-opportunities/verksamhetsutvecklare-supply-chain-excellence
Head of AI &amp; Data Transformation,https://www.saab.com/career/job-opportunities/head-of-ai--data-transformation
Operations Coordinator,https://www.saab.com/career/job-opportunities/operations-coordinator
Specialist Accounts Payable (m/w/d),https://www.saab.com/career/job-opportunities/specialist-accounts-payable-mwd
Projektledare inom ILS f&#xF6;r Airborne Early Warning,https://www.saab.com/career/job-opportunities/projektledare-inom-ils-for-airborne-early-warning
System developer Finance Systems,https://www.saab.com/career/job-opportunities/system-developer-finance-systems
Software Manager Giraffe 1X,https://www.saab.com/career/job-opportunities/software-manager-giraffe-1x
Ingenj&#xF6;r med inriktning flygs&#xE4;kerhet,https://www.saab.com/career/job-opportunities/ingenjor-med-inriktning-flygsakerhet
Produktledare Land Communications,https://www.saab.com/career/job-opportunities/produktledare-land-communications
"Executive Assistant, GlobalEye",https://www.saab.com/career/job-opportunities/executive-assistant-globaleye
Senior Systems Architect &#x2013; Windows Infrastructure and Security,https://www.saab.com/career/job-opportunities/senior-systems-architect--windows-infrastructure-and-security1
Software Spezialist (m/w/d) im Customer Service,https://www.saab.com/career/job-opportunities/software-spezialist-mwd-im-customer-service
Lead Engineer,https://www.saab.com/career/job-opportunities/lead-engineer
Head of Data Platforms,https://www.saab.com/career/job-opportunities/head-of-data-platforms
Strategic Sourcing Engineer,https://www.saab.com/career/job-opportunities/strategic-sourcing-engineer
Elmekanikkonstrukt&#xF6;r inom produktutveckling &#x2013; d&#xE4;r mekanik m&#xF6;ter elektronik,https://www.saab.com/career/job-opportunities/elmekanikkonstruktor-inom-produktutveckling---dar-mekanik-moter-elektronik
Sektionschef f&#xF6;r H&#xE5;rdvarukonstruktion,https://www.saab.com/career/job-opportunities/sektionschef-for-hardvarukonstruktion
"Technical Support Engineer with task managing ability, SMRA",https://www.saab.com/career/job-opportunities/technical-support-engineer-with-task-managing-ability-smra
Change Lead &#x2013; Ledning och planering i tekniskt sp&#xE4;nnande milj&#xF6;,https://www.saab.com/career/job-opportunities/change-lead--ledning-och-planering-i-tekniskt-spannande-miljo
Facility Manager till Stockholm,https://www.saab.com/career/job-opportunities/facility-manager-till-stockholm1
Vi s&#xF6;ker nu flera Sektionschefer!,https://www.saab.com/career/job-opportunities/vi-soker-nu-flera-sektionschefer
Quality Control Inspector,https://www.saab.com/career/job-opportunities/quality-control-inspector1
Styrlagsdesigner,https://www.saab.com/career/job-opportunities/styrlagsdesigner
Systems Engineer,https://www.saab.com/career/job-opportunities/systems-engineer2
Systems Engineer,https://www.saab.com/career/job-opportunities/systems-engineer1
Project Coordinator,https://www.saab.com/career/job-opportunities/project-coordinator1
Systemingenj&#xF6;r Remote Tower System,https://www.saab.com/career/job-opportunities/systemingenjor-remote-tower-system2
Commercial and Contracts Manager &#x2013; Air Traffic Management,https://www.saab.com/career/job-opportunities/commercial-and-contracts-manager--air-traffic-management1
Senior Systems Engineer,https://www.saab.com/career/job-opportunities/senior-systems-engineer4
Systemingenj&#xF6;r,https://www.saab.com/career/job-opportunities/systemingenjor
Sektionschef Support,https://www.saab.com/career/job-opportunities/sektionschef-support
Product Owner / Assignment manager,https://www.saab.com/career/job-opportunities/product-owner--assignment-manager
Inspection and Test Technician,https://www.saab.com/career/job-opportunities/inspection-and-test-technician
Maskiningenj&#xF6;r till Saab Aeronautics i &#xD6;stersund,https://www.saab.com/career/job-opportunities/maskiningenjor-till-saab-aeronautics-i-ostersund
C#/.NET-utvecklare till St&#xF6;dsystem Gripen,https://www.saab.com/career/job-opportunities/c.net-utvecklare-till-stodsystem-gripen
Systemingenj&#xF6;r - EMC,https://www.saab.com/career/job-opportunities/systemingenjor---emc1
ILS-Manager (m/w/d),https://www.saab.com/career/job-opportunities/ils-manager-mwd
Vi s&#xF6;ker en Compliance Monitoring Manager!,https://www.saab.com/career/job-opportunities/vi-soker-en-compliance-monitoring-manager
Apparattekniker till Saab i Arboga,https://www.saab.com/career/job-opportunities/apparattekniker-till-saab-i-arboga
System Engineer,https://www.saab.com/career/job-opportunities/system-engineer
Power Electronics Engineer,https://www.saab.com/career/job-opportunities/power-electronics-engineer
Lead Software Engineer,https://www.saab.com/career/job-opportunities/lead-software-engineer
Underh&#xE5;llsingenj&#xF6;r Avionics,https://www.saab.com/career/job-opportunities/underhallsingenjor-avionics
Teknisk projektledare till Saab!,https://www.saab.com/career/job-opportunities/teknisk-projektledare-till-saab
Systemingenj&#xF6;rer till flyg och tr&#xE4;ningssystem!,https://www.saab.com/career/job-opportunities/systemingenjorer-till-flyg-och-traningssystem
DevSecOps Engineer - Air Traffic Management,https://www.saab.com/career/job-opportunities/devsecops-engineer---air-traffic-management
Systemutvecklare,https://www.saab.com/career/job-opportunities/systemutvecklare
Kvalitetskontrollant,https://www.saab.com/career/job-opportunities/kvalitetskontrollant
Produktionschef Support,https://www.saab.com/career/job-opportunities/produktionschef-support
Mekanikingenj&#xF6;r till Saab &#x2013; utveckla n&#xE4;sta generations f&#xF6;rsvarssystem,https://www.saab.com/career/job-opportunities/mekanikingenjor-till-saab--utveckla-nasta-generations-forsvarssystem
Business Object Leader,https://www.saab.com/career/job-opportunities/business-object-leader
